,RICK NASH,DEREK STEPAN,MATS ZUCCARELLO,JT MILLER,CHRIS KREIDER
RICK NASH,0.0,12.0,2.0,2.0,4.0
DEREK STEPAN,12.0,0.0,22.0,1.0,31.0
MATS ZUCCARELLO,2.0,22.0,0.0,8.0,32.0
JT MILLER,2.0,1.0,8.0,0.0,4.0
CHRIS KREIDER,4.0,31.0,32.0,4.0,0.0
