,CONOR SHEARY,PATRIC HORNQVIST,PHIL KESSEL,EVGENI MALKIN,SIDNEY CROSBY
CONOR SHEARY,0.0,5.0,3.0,3.0,45.0
PATRIC HORNQVIST,5.0,0.0,19.0,20.0,21.0
PHIL KESSEL,3.0,19.0,0.0,38.0,17.0
EVGENI MALKIN,3.0,20.0,38.0,0.0,17.0
SIDNEY CROSBY,45.0,21.0,17.0,17.0,0.0
