,MIKE FISHER,JAMES NEAL,RYAN JOHANSEN,VIKTOR ARVIDSSON,FILIP FORSBERG
MIKE FISHER,0.0,6.0,13.0,3.0,4.0
JAMES NEAL,6.0,0.0,16.0,10.0,3.0
RYAN JOHANSEN,13.0,16.0,0.0,23.0,30.0
VIKTOR ARVIDSSON,3.0,10.0,23.0,0.0,23.0
FILIP FORSBERG,4.0,3.0,30.0,23.0,0.0
