,MARCUS JOHANSSON,EVGENY KUZNETSOV,TJ OSHIE,ALEX OVECHKIN,NICKLAS BACKSTROM
MARCUS JOHANSSON,0.0,23.0,15.0,15.0,13.0
EVGENY KUZNETSOV,23.0,0.0,3.0,14.0,2.0
TJ OSHIE,15.0,3.0,0.0,23.0,58.0
ALEX OVECHKIN,15.0,14.0,23.0,0.0,47.0
NICKLAS BACKSTROM,13.0,2.0,58.0,47.0,0.0
