,WILLIAM NYLANDER,MITCHELL MARNER,JAMES VAN RIEMSDYK,NAZEM KADRI,AUSTON MATTHEWS
WILLIAM NYLANDER,0.0,0.0,0.0,25.0,47.0
MITCHELL MARNER,0.0,0.0,36.0,12.0,0.0
JAMES VAN RIEMSDYK,0.0,36.0,0.0,8.0,1.0
NAZEM KADRI,25.0,12.0,8.0,0.0,5.0
AUSTON MATTHEWS,47.0,0.0,1.0,5.0,0.0
