,KYLE OKPOSO,EVANDER KANE,SAM REINHART,RYAN O'REILLY,JACK EICHEL
KYLE OKPOSO,0.0,2.0,16.0,25.0,18.0
EVANDER KANE,2.0,0.0,8.0,9.0,19.0
SAM REINHART,16.0,8.0,0.0,9.0,21.0
RYAN O'REILLY,25.0,9.0,9.0,0.0,19.0
JACK EICHEL,18.0,19.0,21.0,19.0,0.0
