,FRANS NIELSEN,THOMAS VANEK,GUSTAV NYQUIST,TOMAS TATAR,HENRIK ZETTERBERG
FRANS NIELSEN,0.0,15.0,6.0,0.0,5.0
THOMAS VANEK,15.0,0.0,7.0,0.0,6.0
GUSTAV NYQUIST,6.0,7.0,0.0,17.0,20.0
TOMAS TATAR,0.0,0.0,17.0,0.0,31.0
HENRIK ZETTERBERG,5.0,6.0,20.0,31.0,0.0
