,JAKOB SILFVERBERG,COREY PERRY,RYAN KESLER,RICKARD RAKELL,RYAN GETZLAF
JAKOB SILFVERBERG,0.0,4.0,23.0,4.0,4.0
COREY PERRY,4.0,0.0,13.0,22.0,16.0
RYAN KESLER,23.0,13.0,0.0,6.0,20.0
RICKARD RAKELL,4.0,22.0,6.0,0.0,23.0
RYAN GETZLAF,4.0,16.0,20.0,23.0,0.0
