,DOUGIE HAMILTON,MATTHEW TKACHUK,MIKAEL BACKLUND,SEAN MONAHAN,JOHNNY GAUDREAU
DOUGIE HAMILTON,0.0,15.0,21.0,11.0,11.0
MATTHEW TKACHUK,15.0,0.0,30.0,3.0,0.0
MIKAEL BACKLUND,21.0,30.0,0.0,0.0,1.0
SEAN MONAHAN,11.0,3.0,0.0,0.0,39.0
JOHNNY GAUDREAU,11.0,0.0,1.0,39.0,0.0
