,PAUL STASTNY,DAVID PERRON,ALEXANDER STEEN,JADEN SCHWARTZ,VLADIMIR TARASENKO
PAUL STASTNY,0.0,3.0,20.0,17.0,12.0
DAVID PERRON,3.0,0.0,6.0,7.0,6.0
ALEXANDER STEEN,20.0,6.0,0.0,17.0,16.0
JADEN SCHWARTZ,17.0,7.0,17.0,0.0,37.0
VLADIMIR TARASENKO,12.0,6.0,16.0,37.0,0.0
