,SHAYNE GOSTISBEHERE,CLAUDE GIROUX,BRAYDEN SCHENN,WAYNE SIMMONDS,JAKUB VORACEK
SHAYNE GOSTISBEHERE,0.0,8.0,16.0,24.0,8.0
CLAUDE GIROUX,8.0,0.0,21.0,17.0,29.0
BRAYDEN SCHENN,16.0,21.0,0.0,22.0,14.0
WAYNE SIMMONDS,24.0,17.0,22.0,0.0,17.0
JAKUB VORACEK,8.0,29.0,14.0,17.0,0.0
