,RICHARD PANIK,MARIAN HOSSA,JONATHAN TOEWS,ARTEMI PANARIN,PATRICK KANE
RICHARD PANIK,0.0,6.0,25.0,3.0,13.0
MARIAN HOSSA,6.0,0.0,14.0,10.0,4.0
JONATHAN TOEWS,25.0,14.0,0.0,3.0,19.0
ARTEMI PANARIN,3.0,10.0,3.0,0.0,59.0
PATRICK KANE,13.0,4.0,19.0,59.0,0.0
