,MIKE CAMMALLERI,ADAM HENRIQUE,TRAVIS ZAJAC,KYLE PALMIERI,TAYLOR HALL
MIKE CAMMALLERI,0.0,9.0,11.0,6.0,3.0
ADAM HENRIQUE,9.0,0.0,8.0,6.0,11.0
TRAVIS ZAJAC,11.0,8.0,0.0,20.0,10.0
KYLE PALMIERI,6.0,6.0,20.0,0.0,24.0
TAYLOR HALL,3.0,11.0,10.0,24.0,0.0
