,BRYAN LITTLE,NIKOLAJ EHLERS,PATRIK LAINE,BLAKE WHEELER,MARK SCHEIFELE
BRYAN LITTLE,0.0,12.0,18.0,24.0,2.0
NIKOLAJ EHLERS,12.0,0.0,29.0,16.0,24.0
PATRIK LAINE,18.0,29.0,0.0,6.0,46.0
BLAKE WHEELER,24.0,16.0,6.0,0.0,29.0
MARK SCHEIFELE,2.0,24.0,46.0,29.0,0.0
