,TOREY KRUG,PATRICE BERGERON,DAVID KREJCI,DAVID PASTRNAK,BRAD MARCHAND
TOREY KRUG,0.0,12.0,12.0,12.0,16.0
PATRICE BERGERON,12.0,0.0,4.0,25.0,43.0
DAVID KREJCI,12.0,4.0,0.0,20.0,8.0
DAVID PASTRNAK,12.0,25.0,20.0,0.0,51.0
BRAD MARCHAND,16.0,43.0,8.0,51.0,0.0
