,GABRIEL LANDESKOG,TYSON BARRIE,MIKKO RANTANEN,MATT DUCHENE,NATHAN MACKINNON
GABRIEL LANDESKOG,0.0,5.0,8.0,11.0,20.0
TYSON BARRIE,5.0,0.0,9.0,7.0,13.0
MIKKO RANTANEN,8.0,9.0,0.0,11.0,20.0
MATT DUCHENE,11.0,7.0,11.0,0.0,9.0
NATHAN MACKINNON,20.0,13.0,20.0,9.0,0.0
