,PAVEL ZACHA,NICO HISCHIER,JESPER BRATT,KYLE PALMIERI,NIKITA GUSEV
PAVEL ZACHA,0.0,3.0,18.0,0.0,12.0
NICO HISCHIER,3.0,0.0,8.0,20.0,4.0
JESPER BRATT,18.0,8.0,0.0,7.0,10.0
KYLE PALMIERI,0.0,20.0,7.0,0.0,2.0
NIKITA GUSEV,12.0,4.0,10.0,2.0,0.0
