,JAMES VAN RIEMSDYK,SEAN COUTURIER,JAKUB VORACEK,CLAUDE GIROUX,TRAVIS KONECNY
JAMES VAN RIEMSDYK,0.0,2.0,9.0,9.0,12.0
SEAN COUTURIER,2.0,0.0,29.0,25.0,9.0
JAKUB VORACEK,9.0,29.0,0.0,23.0,4.0
CLAUDE GIROUX,9.0,25.0,23.0,0.0,28.0
TRAVIS KONECNY,12.0,9.0,4.0,28.0,0.0
