,ONDREJ KASE,RYAN GETZLAF,RICKARD RAKELL,JAKOB SILFVERBERG,ADAM HENRIQUE
ONDREJ KASE,0.0,4.0,0.0,0.0,7.0
RYAN GETZLAF,4.0,0.0,10.0,3.0,5.0
RICKARD RAKELL,0.0,10.0,0.0,27.0,14.0
JAKOB SILFVERBERG,0.0,3.0,27.0,0.0,10.0
ADAM HENRIQUE,7.0,5.0,14.0,10.0,0.0
