,PHIL KESSEL,NICK SCHMALTZ,CHRISTIAN DVORAK,CLAYTON KELLER,CONOR GARLAND
PHIL KESSEL,0.0,4.0,11.0,19.0,3.0
NICK SCHMALTZ,4.0,0.0,9.0,11.0,13.0
CHRISTIAN DVORAK,11.0,9.0,0.0,10.0,17.0
CLAYTON KELLER,19.0,11.0,10.0,0.0,4.0
CONOR GARLAND,3.0,13.0,17.0,4.0,0.0
