,ADRIAN KEMPE,TYLER TOFFOLI,DUSTIN BROWN,ALEX IAFALLO,ANZE KOPITAR
ADRIAN KEMPE,0.0,2.0,3.0,5.0,7.0
TYLER TOFFOLI,2.0,0.0,2.0,9.0,16.0
DUSTIN BROWN,3.0,2.0,0.0,19.0,29.0
ALEX IAFALLO,5.0,9.0,19.0,0.0,39.0
ANZE KOPITAR,7.0,16.0,29.0,39.0,0.0
