,ANDRE BURAKOVSKY,CALE MAKAR,MIKKO RANTANEN,GABRIEL LANDESKOG,NATHAN MACKINNON
ANDRE BURAKOVSKY,0.0,11.0,5.0,0.0,18.0
CALE MAKAR,11.0,0.0,8.0,0.0,32.0
MIKKO RANTANEN,5.0,8.0,0.0,14.0,36.0
GABRIEL LANDESKOG,0.0,0.0,14.0,0.0,37.0
NATHAN MACKINNON,18.0,32.0,36.0,37.0,0.0
