,EVGENY KUZNETSOV,TJ OSHIE,JAKUB VRANA,JOHN CARLSON,ALEX OVECHKIN
EVGENY KUZNETSOV,0.0,15.0,22.0,11.0,16.0
TJ OSHIE,15.0,0.0,26.0,18.0,12.0
JAKUB VRANA,22.0,26.0,0.0,8.0,4.0
JOHN CARLSON,11.0,18.0,8.0,0.0,44.0
ALEX OVECHKIN,16.0,12.0,4.0,44.0,0.0
