,WILLIAM KARLSSON,REILLY SMITH,JONATHAN MARCHESSAULT,MARK STONE,MAX PACIORETTY
WILLIAM KARLSSON,0.0,21.0,19.0,4.0,18.0
REILLY SMITH,21.0,0.0,37.0,0.0,3.0
JONATHAN MARCHESSAULT,19.0,37.0,0.0,8.0,4.0
MARK STONE,4.0,0.0,8.0,0.0,44.0
MAX PACIORETTY,18.0,3.0,4.0,44.0,0.0
