,ANDERS LEE,ANTHONY BEAUVILLIER,JOSH BAILEY,BROCK NELSON,MATHEW BARZAL
ANDERS LEE,0.0,0.0,13.0,3.0,32.0
ANTHONY BEAUVILLIER,0.0,0.0,10.0,26.0,2.0
JOSH BAILEY,13.0,10.0,0.0,12.0,8.0
BROCK NELSON,3.0,26.0,12.0,0.0,13.0
MATHEW BARZAL,32.0,2.0,8.0,13.0,0.0
