,NIKOLAJ EHLERS,PATRIK LAINE,BLAKE WHEELER,MARK SCHEIFELE,KYLE CONNOR
NIKOLAJ EHLERS,0.0,7.0,34.0,12.0,9.0
PATRIK LAINE,7.0,0.0,24.0,24.0,34.0
BLAKE WHEELER,34.0,24.0,0.0,27.0,18.0
MARK SCHEIFELE,12.0,24.0,27.0,0.0,52.0
KYLE CONNOR,9.0,34.0,18.0,52.0,0.0
