,ALEX PIETRANGELO,RYAN O'REILLY,JADEN SCHWARTZ,DAVID PERRON,BRAYDEN SCHENN
ALEX PIETRANGELO,0.0,13.0,21.0,30.0,11.0
RYAN O'REILLY,13.0,0.0,10.0,26.0,16.0
JADEN SCHWARTZ,21.0,10.0,0.0,18.0,46.0
DAVID PERRON,30.0,26.0,18.0,0.0,15.0
BRAYDEN SCHENN,11.0,16.0,46.0,15.0,0.0
