,RYAN SUTER,MATS ZUCCARELLO,ZACH PARISE,ERIC STAAL,KEVIN FIALA
RYAN SUTER,0.0,1.0,11.0,7.0,11.0
MATS ZUCCARELLO,1.0,0.0,4.0,21.0,0.0
ZACH PARISE,11.0,4.0,0.0,13.0,32.0
ERIC STAAL,7.0,21.0,13.0,0.0,10.0
KEVIN FIALA,11.0,0.0,32.0,10.0,0.0
