,ANDREW COGLIANO,SAM GAGNER,TAYLOR HALL,ALES HEMSKY,JORDAN EBERLE
ANDREW COGLIANO,0.0,2.0,6.0,4.0,14.0
SAM GAGNER,2.0,0.0,9.0,9.0,5.0
TAYLOR HALL,6.0,9.0,0.0,11.0,24.0
ALES HEMSKY,4.0,9.0,11.0,0.0,0.0
JORDAN EBERLE,14.0,5.0,24.0,0.0,0.0
