,LUBOMIR VISNOVSKY,RYAN GETZLAF,TEEMU SELANNE,BOBBY RYAN,COREY PERRY
LUBOMIR VISNOVSKY,0.0,16.0,26.0,21.0,16.0
RYAN GETZLAF,16.0,0.0,24.0,32.0,58.0
TEEMU SELANNE,26.0,24.0,0.0,6.0,34.0
BOBBY RYAN,21.0,32.0,6.0,0.0,52.0
COREY PERRY,16.0,58.0,34.0,52.0,0.0
