,ARTEM ANISIMOV,DEREK STEPAN,MARIAN GABORIK,RYAN CALLAHAN,BRANDON DUBINSKY
ARTEM ANISIMOV,0.0,3.0,10.0,28.0,23.0
DEREK STEPAN,3.0,0.0,9.0,4.0,4.0
MARIAN GABORIK,10.0,9.0,0.0,0.0,5.0
RYAN CALLAHAN,28.0,4.0,0.0,0.0,29.0
BRANDON DUBINSKY,23.0,4.0,5.0,29.0,0.0
