,MICHAEL RYDER,NATHAN HORTON,MILAN LUCIC,DAVID KREJCI,PATRICE BERGERON
MICHAEL RYDER,0.0,3.0,2.0,3.0,7.0
NATHAN HORTON,3.0,0.0,43.0,35.0,2.0
MILAN LUCIC,2.0,43.0,0.0,48.0,14.0
DAVID KREJCI,3.0,35.0,48.0,0.0,2.0
PATRICE BERGERON,7.0,2.0,14.0,2.0,0.0
