,COLIN WILSON,SERGEI KOSTITSYN,SHEA WEBER,PATRIC HORNQVIST,MARTIN ERAT
COLIN WILSON,0.0,10.0,5.0,7.0,4.0
SERGEI KOSTITSYN,10.0,0.0,8.0,22.0,20.0
SHEA WEBER,5.0,8.0,0.0,18.0,18.0
PATRIC HORNQVIST,7.0,22.0,18.0,0.0,6.0
MARTIN ERAT,4.0,20.0,18.0,6.0,0.0
