,ANDY MCDONALD,MATT D'AGOSTINI,ALEXANDER STEEN,PATRIK BERGLUND,DAVID BACKES
ANDY MCDONALD,0.0,10.0,0.0,14.0,20.0
MATT D'AGOSTINI,10.0,0.0,9.0,5.0,15.0
ALEXANDER STEEN,0.0,9.0,0.0,13.0,8.0
PATRIK BERGLUND,14.0,5.0,13.0,0.0,8.0
DAVID BACKES,20.0,15.0,8.0,8.0,0.0
