,ALEX BURROWS,MIKAEL SAMUELSSON,HENRIK SEDIN,RYAN KESLER,DANIEL SEDIN
ALEX BURROWS,0.0,0.0,33.0,4.0,42.0
MIKAEL SAMUELSSON,0.0,0.0,11.0,25.0,20.0
HENRIK SEDIN,33.0,11.0,0.0,21.0,77.0
RYAN KESLER,4.0,25.0,21.0,0.0,25.0
DANIEL SEDIN,42.0,20.0,77.0,25.0,0.0
