,TOMAS KOPECKY,MARIAN HOSSA,PATRICK SHARP,PATRICK KANE,JONATHAN TOEWS
TOMAS KOPECKY,0.0,16.0,18.0,7.0,11.0
MARIAN HOSSA,16.0,0.0,16.0,9.0,11.0
PATRICK SHARP,18.0,16.0,0.0,40.0,41.0
PATRICK KANE,7.0,9.0,40.0,0.0,39.0
JONATHAN TOEWS,11.0,11.0,41.0,39.0,0.0
