,VILLE LEINO,MIKE RICHARDS,JEFF CARTER,DANNY BRIERE,CLAUDE GIROUX
VILLE LEINO,0.0,11.0,7.0,39.0,6.0
MIKE RICHARDS,11.0,0.0,12.0,6.0,17.0
JEFF CARTER,7.0,12.0,0.0,15.0,38.0
DANNY BRIERE,39.0,6.0,15.0,0.0,8.0
CLAUDE GIROUX,6.0,17.0,38.0,8.0,0.0
