,KRIS LETANG,PASCAL DUPUIS,TYLER KENNEDY,CHRIS KUNITZ,SIDNEY CROSBY
KRIS LETANG,0.0,6.0,13.0,7.0,22.0
PASCAL DUPUIS,6.0,0.0,0.0,14.0,12.0
TYLER KENNEDY,13.0,0.0,0.0,15.0,6.0
CHRIS KUNITZ,7.0,14.0,15.0,0.0,35.0
SIDNEY CROSBY,22.0,12.0,6.0,35.0,0.0
