,NICKLAS LIDSTROM,DAN CLEARY,JOHAN FRANZEN,PAVEL DATSYUK,HENRIK ZETTERBERG
NICKLAS LIDSTROM,0.0,8.0,9.0,19.0,26.0
DAN CLEARY,8.0,0.0,0.0,14.0,15.0
JOHAN FRANZEN,9.0,0.0,0.0,9.0,22.0
PAVEL DATSYUK,19.0,14.0,9.0,0.0,32.0
HENRIK ZETTERBERG,26.0,15.0,22.0,32.0,0.0
