,JAMIE BENN,BRENDEN MORROW,LOUI ERIKSSON,MIKE RIBEIRO,BRAD RICHARDS
JAMIE BENN,0.0,21.0,9.0,20.0,6.0
BRENDEN MORROW,21.0,0.0,24.0,47.0,5.0
LOUI ERIKSSON,9.0,24.0,0.0,14.0,48.0
MIKE RIBEIRO,20.0,47.0,14.0,0.0,17.0
BRAD RICHARDS,6.0,5.0,48.0,17.0,0.0
