,OLLI JOKINEN,CURTIS GLENCROSS,RENE BOURQUE,ALEX TANGUAY,JAROME IGINLA
OLLI JOKINEN,0.0,20.0,16.0,6.0,13.0
CURTIS GLENCROSS,20.0,0.0,12.0,4.0,10.0
RENE BOURQUE,16.0,12.0,0.0,9.0,16.0
ALEX TANGUAY,6.0,4.0,9.0,0.0,68.0
JAROME IGINLA,13.0,10.0,16.0,68.0,0.0
