,BROOKS LAICH,MIKE KNUBLE,ALEXANDER SEMIN,NICKLAS BACKSTROM,ALEX OVECHKIN
BROOKS LAICH,0.0,10.0,13.0,10.0,9.0
MIKE KNUBLE,10.0,0.0,0.0,21.0,24.0
ALEXANDER SEMIN,13.0,0.0,0.0,24.0,33.0
NICKLAS BACKSTROM,10.0,21.0,24.0,0.0,43.0
ALEX OVECHKIN,9.0,24.0,33.0,43.0,0.0
