,MICHAEL FROLIK,MARTY REASONER,DAVID BOOTH,MIKE SANTORELLI,STEPHEN WEISS
MICHAEL FROLIK,0.0,0.0,5.0,2.0,19.0
MARTY REASONER,0.0,0.0,4.0,4.0,1.0
DAVID BOOTH,5.0,4.0,0.0,12.0,11.0
MIKE SANTORELLI,2.0,4.0,12.0,0.0,9.0
STEPHEN WEISS,19.0,1.0,11.0,9.0,0.0
