,KRIS VERSTEEG,NIKOLAI KULEMIN,MIKHAIL GRABOVSKI,CLARKE MACARTHUR,PHIL KESSEL
KRIS VERSTEEG,0.0,3.0,4.0,8.0,7.0
NIKOLAI KULEMIN,3.0,0.0,40.0,45.0,7.0
MIKHAIL GRABOVSKI,4.0,40.0,0.0,46.0,9.0
CLARKE MACARTHUR,8.0,45.0,46.0,0.0,7.0
PHIL KESSEL,7.0,7.0,9.0,7.0,0.0
