,LOGAN COUTURE,DANY HEATLEY,RYANE CLOWE,JOE THORNTON,PATRICK MARLEAU
LOGAN COUTURE,0.0,15.0,44.0,4.0,5.0
DANY HEATLEY,15.0,0.0,7.0,42.0,21.0
RYANE CLOWE,44.0,7.0,0.0,8.0,6.0
JOE THORNTON,4.0,42.0,8.0,0.0,34.0
PATRICK MARLEAU,5.0,21.0,6.0,34.0,0.0
