,TUOMO RUUTU,JUSSI JOKINEN,ERIK COLE,JEFF SKINNER,ERIC STAAL
TUOMO RUUTU,0.0,17.0,3.0,29.0,9.0
JUSSI JOKINEN,17.0,0.0,11.0,15.0,17.0
ERIK COLE,3.0,11.0,0.0,17.0,25.0
JEFF SKINNER,29.0,15.0,17.0,0.0,17.0
ERIC STAAL,9.0,17.0,25.0,17.0,0.0
