,MATT MOULSON,PA PARENTEAU,BLAKE COMEAU,MICHAEL GRABNER,JOHN TAVARES
MATT MOULSON,0.0,30.0,3.0,0.0,50.0
PA PARENTEAU,30.0,0.0,6.0,3.0,41.0
BLAKE COMEAU,3.0,6.0,0.0,6.0,5.0
MICHAEL GRABNER,0.0,3.0,6.0,0.0,0.0
JOHN TAVARES,50.0,41.0,5.0,0.0,0.0
