,KYLE BRODZIAK,BRENT BURNS,ANDREW BRUNETTE,MIKKO KOIVU,MARTIN HAVLAT
KYLE BRODZIAK,0.0,9.0,0.0,0.0,27.0
BRENT BURNS,9.0,0.0,4.0,16.0,18.0
ANDREW BRUNETTE,0.0,4.0,0.0,37.0,3.0
MIKKO KOIVU,0.0,16.0,37.0,0.0,4.0
MARTIN HAVLAT,27.0,18.0,3.0,4.0,0.0
