,TAYLOR PYATT,ERIC BELANGER,LAURI KORPIKOSKI,KEITH YANDLE,RADIM VRBATA,RAY WHITNEY,SHANE DOAN
TAYLOR PYATT,0.0,4.0,4.0,12.0,3.0,0.0,5.0
ERIC BELANGER,0.0,0.0,6.0,6.0,3.0,6.0,13.0
LAURI KORPIKOSKI,0.0,0.0,0.0,8.0,6.0,5.0,6.0
KEITH YANDLE,0.0,0.0,0.0,0.0,10.0,10.0,18.0
RADIM VRBATA,0.0,0.0,0.0,0.0,0.0,35.0,16.0
RAY WHITNEY,0.0,0.0,0.0,0.0,0.0,0.0,21.0
SHANE DOAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
