,LAURI KORPIKOSKI,KEITH YANDLE,RADIM VRBATA,RAY WHITNEY,SHANE DOAN
LAURI KORPIKOSKI,0.0,8.0,6.0,5.0,6.0
KEITH YANDLE,8.0,0.0,10.0,10.0,18.0
RADIM VRBATA,6.0,10.0,0.0,35.0,16.0
RAY WHITNEY,5.0,10.0,35.0,0.0,21.0
SHANE DOAN,6.0,18.0,16.0,21.0,0.0
