,RYAN SMYTH,JUSTIN WILLIAMS,JARRET STOLL,DUSTIN BROWN,ANZE KOPITAR
RYAN SMYTH,0.0,21.0,32.0,14.0,7.0
JUSTIN WILLIAMS,21.0,0.0,24.0,12.0,15.0
JARRET STOLL,32.0,24.0,0.0,6.0,6.0
DUSTIN BROWN,14.0,12.0,6.0,0.0,39.0
ANZE KOPITAR,7.0,15.0,6.0,39.0,0.0
