,VIKTOR STALBERG,JONATHAN TOEWS,PATRICK SHARP,PATRICK KANE,MARIAN HOSSA
VIKTOR STALBERG,0.0,27.0,12.0,7.0,4.0
JONATHAN TOEWS,27.0,0.0,19.0,15.0,13.0
PATRICK SHARP,12.0,19.0,0.0,34.0,35.0
PATRICK KANE,7.0,15.0,34.0,0.0,35.0
MARIAN HOSSA,4.0,13.0,35.0,35.0,0.0
