,JORDAN STAAL,PASCAL DUPUIS,CHRIS KUNITZ,JAMES NEAL,EVGENI MALKIN
JORDAN STAAL,0.0,21.0,4.0,8.0,6.0
PASCAL DUPUIS,21.0,0.0,6.0,0.0,3.0
CHRIS KUNITZ,4.0,6.0,0.0,29.0,46.0
JAMES NEAL,8.0,0.0,29.0,0.0,88.0
EVGENI MALKIN,6.0,3.0,46.0,88.0,0.0
