,STEVE OTT,MIKE RIBEIRO,JAMIE BENN,MICHAEL RYDER,LOUI ERIKSSON
STEVE OTT,0.0,10.0,17.0,4.0,13.0
MIKE RIBEIRO,10.0,0.0,0.0,29.0,20.0
JAMIE BENN,17.0,0.0,0.0,25.0,25.0
MICHAEL RYDER,4.0,29.0,25.0,0.0,54.0
LOUI ERIKSSON,13.0,20.0,25.0,54.0,0.0
