,LARS ELLER,TOMAS PLEKANEC,DAVID DESHARNAIS,ERIK COLE,MAX PACIORETTY
LARS ELLER,0.0,6.0,0.0,1.0,1.0
TOMAS PLEKANEC,6.0,0.0,0.0,8.0,8.0
DAVID DESHARNAIS,0.0,0.0,0.0,33.0,38.0
ERIK COLE,1.0,8.0,33.0,0.0,41.0
MAX PACIORETTY,1.0,8.0,38.0,41.0,0.0
