,CLARKE MACARTHUR,TYLER BOZAK,MIKHAIL GRABOVSKI,JOFFREY LUPUL,PHIL KESSEL
CLARKE MACARTHUR,0.0,2.0,33.0,0.0,3.0
TYLER BOZAK,2.0,0.0,0.0,19.0,41.0
MIKHAIL GRABOVSKI,33.0,0.0,0.0,6.0,2.0
JOFFREY LUPUL,0.0,19.0,6.0,0.0,60.0
PHIL KESSEL,3.0,41.0,2.0,60.0,0.0
