,DEVIN SETOGUCHI,MATT CULLEN,KYLE BRODZIAK,MIKKO KOIVU,DANY HEATLEY
DEVIN SETOGUCHI,0.0,6.0,2.0,19.0,28.0
MATT CULLEN,6.0,0.0,4.0,2.0,10.0
KYLE BRODZIAK,2.0,4.0,0.0,2.0,10.0
MIKKO KOIVU,19.0,2.0,2.0,0.0,22.0
DANY HEATLEY,28.0,10.0,10.0,22.0,0.0
