,KEITH YANDLE,LAURI KORPIKOSKI,SHANE DOAN,RADIM VRBATA,RAY WHITNEY
KEITH YANDLE,0.0,2.0,16.0,11.0,12.0
LAURI KORPIKOSKI,2.0,0.0,12.0,5.0,7.0
SHANE DOAN,16.0,12.0,0.0,8.0,18.0
RADIM VRBATA,11.0,5.0,8.0,0.0,57.0
RAY WHITNEY,12.0,7.0,18.0,57.0,0.0
