,DREW DOUGHTY,MIKE RICHARDS,DUSTIN BROWN,JUSTIN WILLIAMS,ANZE KOPITAR
DREW DOUGHTY,0.0,5.0,9.0,10.0,12.0
MIKE RICHARDS,5.0,0.0,21.0,5.0,9.0
DUSTIN BROWN,9.0,21.0,0.0,11.0,32.0
JUSTIN WILLIAMS,10.0,5.0,11.0,0.0,31.0
ANZE KOPITAR,12.0,9.0,32.0,31.0,0.0
