,JANNIK HANSEN,RYAN KESLER,DANIEL SEDIN,ALEX BURROWS,HENRIK SEDIN
JANNIK HANSEN,0.0,2.0,8.0,2.0,4.0
RYAN KESLER,2.0,0.0,13.0,16.0,10.0
DANIEL SEDIN,8.0,13.0,0.0,29.0,54.0
ALEX BURROWS,2.0,16.0,29.0,0.0,32.0
HENRIK SEDIN,4.0,10.0,54.0,32.0,0.0
