,ARTEM ANISIMOV,DEREK STEPAN,RYAN CALLAHAN,BRAD RICHARDS,MARIAN GABORIK
ARTEM ANISIMOV,0.0,12.0,2.0,2.0,20.0
DEREK STEPAN,12.0,0.0,5.0,4.0,41.0
RYAN CALLAHAN,2.0,5.0,0.0,30.0,11.0
BRAD RICHARDS,2.0,4.0,30.0,0.0,32.0
MARIAN GABORIK,20.0,41.0,11.0,32.0,0.0
