,PATRICK O'SULLIVAN,MICHAL HANDZUS,DUSTIN BROWN,ALEX FROLOV,ANZE KOPITAR
PATRICK O'SULLIVAN,0.0,2.0,4.0,5.0,24.0
MICHAL HANDZUS,2.0,0.0,2.0,22.0,8.0
DUSTIN BROWN,4.0,2.0,0.0,9.0,30.0
ALEX FROLOV,5.0,22.0,9.0,0.0,14.0
ANZE KOPITAR,24.0,8.0,30.0,14.0,0.0
