,SCOTT NIEDERMAYER,TEEMU SELANNE,BOBBY RYAN,RYAN GETZLAF,COREY PERRY
SCOTT NIEDERMAYER,0.0,17.0,17.0,17.0,18.0
TEEMU SELANNE,17.0,0.0,3.0,26.0,19.0
BOBBY RYAN,17.0,3.0,0.0,31.0,15.0
RYAN GETZLAF,17.0,26.0,31.0,0.0,50.0
COREY PERRY,18.0,19.0,15.0,50.0,0.0
