,JAKUB VORACEK,JASON WILLIAMS,KRISTIAN HUSELIUS,RJ UMBERGER,RICK NASH
JAKUB VORACEK,0.0,8.0,7.0,18.0,1.0
JASON WILLIAMS,8.0,0.0,6.0,10.0,12.0
KRISTIAN HUSELIUS,7.0,6.0,0.0,8.0,42.0
RJ UMBERGER,18.0,10.0,8.0,0.0,11.0
RICK NASH,1.0,12.0,42.0,11.0,0.0
